A000	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	COLERA
A001	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	COLERA
A009	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	COLERA
A010	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	FIEBRES TIFOIDEA Y PARATIFOIDEA
A011	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	FIEBRES TIFOIDEA Y PARATIFOIDEA
A012	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	FIEBRES TIFOIDEA Y PARATIFOIDEA
A013	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	FIEBRES TIFOIDEA Y PARATIFOIDEA
A014	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	FIEBRES TIFOIDEA Y PARATIFOIDEA
A020	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	OTRAS INFECCIONES DEBIDAS SALMONELLA
A021	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	OTRAS INFECCIONES DEBIDAS SALMONELLA
A022	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	OTRAS INFECCIONES DEBIDAS SALMONELLA
A028	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	OTRAS INFECCIONES DEBIDAS SALMONELLA
A029	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	OTRAS INFECCIONES DEBIDAS SALMONELLA
A030	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	SHIGELOSIS
A031	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	SHIGELOSIS
A032	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	SHIGELOSIS
A033	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	SHIGELOSIS
A038	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	SHIGELOSIS
A039	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	SHIGELOSIS
A040	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	OTRAS INFECCIONES INTESTINALES BACTERIANAS
C80X	TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS	TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C810	TUMORES [NEOPLASIAS] (C00-D48)	LINFORMA DE HODGKIN
C811	TUMORES [NEOPLASIAS] (C00-D48)	LINFORMA DE HODGKIN
C812	TUMORES [NEOPLASIAS] (C00-D48)	LINFORMA DE HODGKIN
C813	TUMORES [NEOPLASIAS] (C00-D48)	LINFORMA DE HODGKIN
C814	TUMORES [NEOPLASIAS] (C00-D48)	LINFORMA DE HODGKIN
C817	TUMORES [NEOPLASIAS] (C00-D48)	LINFORMA DE HODGKIN
B427	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	ESPOROTRICOSIS
B428	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	ESPOROTRICOSIS
B429	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	ESPOROTRICOSIS
B430	CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS (A00-B99)	CROMOMICOSIS Y ABSCESO FEOMICOTICO
